name,years,reviews,employee,rating,type,highly_rated_for
Vishal Mega Mart,Gurgaon/Gurugram +303 more,2.4k,10k-50k Employees,3.8,Retail,null
Wipro Consumer Care & Lighting,Bangalore/Bengaluru +88 more,2.4k,1k-5k Employees,3.8,FMCG,Job Security
R1 RCM,Murray +23 more,2.4k,5k-10k Employees,3.9,BPO,"Job Security, Company Culture, Work Life Balance"
ABB Group,35 years old,2.3k,1k-5k Employees,4.1,Electrical Equipment,"Job Security, Work Life Balance, Company Culture"
Axis Direct,San Mateo +267 more,2.3k,1k-5k Employees,3.9,Financial Services,Skill Development / Learning
Glenmark Pharmaceuticals,46 years old,2.3k,10k-50k Employees,4.0,Pharma,"Job Security, Skill Development / Learning, Salary & Benefits"
Ipca Laboratories,74 years old,2.3k,10k-50k Employees,4.0,Pharma,"Job Security, Work Life Balance, Skill Development / Learning"
CMS IT Services,9 years old,2.3k,5k-10k Employees,3.1,IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Maersk,Copenhagen +31 more,2.3k,10k-50k Employees,4.3,Logistics,"Job Security, Company Culture, Work Life Balance"
Tata AIA Life Insurance,Mumbai +280 more,2.3k,10k-50k Employees,4.1,Insurance,"Job Security, Salary & Benefits, Skill Development / Learning"
NatWest Group,Gurgaon/Gurugram +22 more,2.3k,10k-50k Employees,4.1,Banking,"Work Life Balance, Job Security, Company Culture"
ITC Infotech,Bangalore/Bengaluru +46 more,2.3k,10k-50k Employees,3.5,IT Services & Consulting,Promotions / Appraisal
Bank of America,25 years old,2.3k,10k-50k Employees,4.4,Banking,"Job Security, Work Life Balance, Company Culture"
DTDC Express,Bangalore/Bengaluru +217 more,2.3k,1k-5k Employees,3.8,Logistics,null
MRF Tyres,77 years old,2.3k,10k-50k Employees,3.7,Auto Components,Job Security
Aarti Industries,48 years old,2.3k,5k-10k Employees,4.1,Agro Chemicals,"Job Security, Work Life Balance, Skill Development / Learning"
Honda Motorcycle & Scooter,Gurgaon/Gurugram +199 more,2.3k,5k-10k Employees,4.2,Automobile,"Job Security, Company Culture, Work Life Balance"
Aakash Educational Services,New Delhi +191 more,2.3k,10k-50k Employees,3.6,EdTech,null
Paras Hospital,Gurgaon/Gurugram +38 more,2.3k,5k-10k Employees,4.6,Healthcare,"Skill Development / Learning, Company Culture, Work Life Balance"
24/7 Customer,San Jose +22 more,2.2k,5k-10k Employees,3.6,BPO,null
Reliance Nippon Life Insurance,Mumbai +417 more,2.2k,10k-50k Employees,3.9,Insurance,null
Jindal Steel and Power,44 years old,2.2k,5k-10k Employees,3.9,Iron & Steel,"Skill Development / Learning, Job Security"
Berger Paints,100 years old,2.2k,1k-5k Employees,3.7,Chemicals,Job Security
Conduent,Florham Park +20 more,2.2k,5k-10k Employees,3.6,BPO,"Promotions / Appraisal, Salary & Benefits"
HDFC Ergo General Insurance,21 years old,2.2k,10k-50k Employees,4.0,Insurance,"Job Security, Company Culture, Work Life Balance"
Utkarsh Small Finance Bank,14 years old,2.2k,10k-50k Employees,3.9,Banking,Job Security
Indiabulls Home Loans,18 years old,2.2k,5k-10k Employees,3.8,NBFC,null
PolicyBazaar,15 years old,2.2k,10k-50k Employees,3.4,Internet,Work Life Balance
RBL Bank,80 years old,2.2k,10k-50k Employees,3.7,Banking,null
GATI-KWE,Hyderabad/Secunderabad +154 more,2.2k,1k-5k Employees,4.0,Logistics,"Skill Development / Learning, Job Security, Work Life Balance"
Escorts Kubota Limited,63 years old,2.2k,1k-5k Employees,4.1,Automobile,"Skill Development / Learning, Work Life Balance, Company Culture"
Carelon Global Solutions,null,2.2k,5k-10k Employees,4.0,IT Services & Consulting,"Job Security, Salary & Benefits, Company Culture"
Shoppers Stop,32 years old,2.2k,5k-10k Employees,4.2,Retail,"Job Security, Company Culture, Skill Development / Learning"
Cogent E Services,19 years old,2.2k,10k-50k Employees,3.4,BPO,null
