name,years,reviews,employee,rating,type,highly_rated_for
Jubilant Foods Works,28 years old,2.1k,10k-50k Employees,3.8,Hospitality,"Skill Development / Learning, Salary & Benefits"
Torrent Pharmaceuticals,52 years old,2.1k,10k-50k Employees,3.9,Pharma,"Job Security, Work Life Balance, Company Culture"
HARMAN,14 years old,2.1k,5k-10k Employees,3.8,Consumer Electronics & Appliances,null
Reliance SMSL,16 years old,2.1k,1k-5k Employees,4.0,BPO,"Skill Development / Learning, Salary & Benefits, Work Life Balance"
Bajaj Electricals,85 years old,2.1k,1k-5k Employees,4.1,Consumer Electronics & Appliances,"Salary & Benefits, Work Life Balance, Company Culture"
ArcelorMittal Nippon Steel,Surat +60 more,2.1k,5k-10k Employees,4.0,Iron & Steel,"Job Security, Skill Development / Learning, Work Life Balance"
Titan Company,39 years old,2.1k,5k-10k Employees,4.4,Retail,"Company Culture, Job Security, Skill Development / Learning"
Birlasoft,28 years old,2.1k,10k-50k Employees,3.7,IT Services & Consulting,null
Simplex Infrastructures,99 years old,2.1k,1k-5k Employees,3.3,Engineering & Construction,"Salary & Benefits, Promotions / Appraisal"
KPIT Technologies,33 years old,2.1k,5k-10k Employees,3.6,Software Product,null
Wipro Enterprises Ltd,Bangalore +76 more,2.1k,501-1k Employees,3.8,IT Services & Consulting,"Job Security, Skill Development / Learning, Company Culture"
Synechron,New York +20 more,2k,5k-10k Employees,4.0,IT Services & Consulting,"Salary & Benefits, Skill Development / Learning, Company Culture"
UPL,54 years old,2k,5k-10k Employees,4.1,Agro Chemicals,"Job Security, Skill Development / Learning, Work Life Balance"
Dilip Buildcon,36 years old,2k,10k-50k Employees,4.0,Engineering & Construction,"Skill Development / Learning, Work Satisfaction"
Lenskart,13 years old,2k,5k-10k Employees,3.2,Internet,Promotions / Appraisal
Huawei Technologies,Gurgaon/Gurugram +93 more,2k,51-200 Employees,4.0,IT Services & Consulting,"Salary & Benefits, Skill Development / Learning"
Domino's Pizza,63 years old,2k,1k-5k Employees,4.0,Hospitality,"Skill Development / Learning, Salary & Benefits, Company Culture"
Statestreet HCL Services,New Delhi +14 more,2k,5k-10k Employees,3.2,BPO,Job Security
KocharTech,Gurgaon/Gurugram +22 more,2k,1k-5k Employees,4.2,IT Services & Consulting,"Skill Development / Learning, Company Culture, Work Satisfaction"
Apollo Tyres,51 years old,2k,5k-10k Employees,4.1,Auto Components,"Skill Development / Learning, Company Culture, Job Security"
Patanjali Ayurved,17 years old,2k,5k-10k Employees,4.0,FMCG,"Work Life Balance, Job Security"
Tata AIG,Mumbai +206 more,2k,5k-10k Employees,4.2,Insurance,"Job Security, Company Culture, Skill Development / Learning"
Tech Mahindra Business Services,20 years old,2k,5k-10k Employees,3.5,BPO,null
AGS Health,Washington DC +32 more,2k,10k-50k Employees,4.1,BPO,"Job Security, Company Culture, Skill Development / Learning"
Flex,54 years old,2k,5k-10k Employees,4.1,Electronics Manufacturing,"Company Culture, Work Life Balance, Job Security"
Capita,Indore +19 more,2k,5k-10k Employees,3.9,IT Services & Consulting,"Work Life Balance, Job Security, Company Culture"
Suzlon Group,28 years old,2k,5k-10k Employees,4.1,Power,"Job Security, Skill Development / Learning, Company Culture"
McDonald's,68 years old,2k,5k-10k Employees,4.2,Hospitality,"Skill Development / Learning, Company Culture, Job Security"
AFCONS Infrastructure,Mumbai +82 more,2k,10k-50k Employees,4.4,Engineering & Construction,"Skill Development / Learning, Job Security, Company Culture"
Lava International,14 years old,2k,1k-5k Employees,4.1,Consumer Electronics & Appliances,"Skill Development / Learning, Company Culture, Work Life Balance"
Alstom Transportation,95 years old,2k,5k-10k Employees,3.9,Engineering & Construction,Job Security
Square Yards,Gurgaon +39 more,1.9k,1k-5k Employees,3.8,Real Estate,null
Mankind Pharma,28 years old,1.9k,10k-50k Employees,4.1,Pharma,"Salary & Benefits, Skill Development / Learning, Company Culture"
Zensar Technologies,22 years old,1.9k,5k-10k Employees,3.8,IT Services & Consulting,Work Life Balance
IGT Solutions,Gurgaon/Gurugram +18 more,1.9k,5k-10k Employees,3.3,IT Services & Consulting,Promotions / Appraisal
State Street Syntel,Mumbai +18 more,1.9k,501-1k Employees,3.7,Financial Services,"Job Security, Skill Development / Learning"
Taj Hotels Resorts and Palaces,Mumbai +89 more,1.9k,10k-50k Employees,4.2,Hospitality,"Job Security, Skill Development / Learning, Company Culture"
Capgemini Engineering,null,1.9k,Gurgaon/Gurugram +18 more,3.6,10k-50k Employees,Job Security
Max Healthcare,22 years old,1.9k,1k-5k Employees,4.1,Healthcare,"Skill Development / Learning, Job Security, Company Culture"
Walmart,14 years old,1.9k,5k-10k Employees,4.0,Retail,"Job Security, Company Culture, Salary & Benefits"
Bajaj Allianz General Insurance,null,1.9k,5k-10k Employees,4.0,Insurance,"Skill Development / Learning, Company Culture, Job Security"
Birla Sun Life Insurance,Mumbai +345 more,1.9k,10k-50k Employees,4.2,Insurance,"Job Security, Company Culture, Work Life Balance"
Tata Technologies,34 years old,1.9k,5k-10k Employees,3.7,IT Services & Consulting,"Job Security, Work Life Balance"
Landmark Group,50 years old,1.9k,1k-5k Employees,4.0,Retail,"Job Security, Skill Development / Learning, Company Culture"
EY Global Delivery Services ( EY GDS),Bangalore/Bengaluru +33 more,1.9k,50k-1 Lakh Employees,3.7,Accounting & Auditing,"Job Security, Skill Development / Learning"
Nestle,64 years old,1.9k,5k-10k Employees,4.1,Food Processing,"Skill Development / Learning, Job Security, Salary & Benefits"
Tractors and Farm Equipment,63 years old,1.9k,5k-10k Employees,4.1,Automobile,"Skill Development / Learning, Company Culture, Work Life Balance"
State Street Corporation,231 years old,1.9k,10k-50k Employees,3.8,Financial Services,Job Security
Blue Dart Express,40 years old,1.9k,10k-50k Employees,4.2,Logistics,"Job Security, Company Culture, Work Life Balance"
HDFC Sales,Mumbai +260 more,1.9k,10k-50k Employees,4.0,Financial Services,"Skill Development / Learning, Company Culture, Work Life Balance"
Societe Generale,Bangalore/Bengaluru +13 more,1.9k,1k-5k Employees,3.9,Financial Services,"Job Security, Work Life Balance, Company Culture"
Fiserv,39 years old,1.9k,5k-10k Employees,3.7,FinTech,null
Fortis Healthcare,27 years old,1.9k,5k-10k Employees,4.0,Healthcare,"Skill Development / Learning, Job Security, Company Culture"
Nokia,158 years old,1.8k,10k-50k Employees,4.2,Hardware & Networking,"Company Culture, Work Life Balance, Job Security"
ElasticRun,7 years old,1.8k,1k-5k Employees,3.4,Logistics,Job Security
Ola Cabs,13 years old,1.8k,1k-5k Employees,3.5,Internet,Job Security
I Process Services,Mumbai +258 more,1.8k,1k-5k Employees,3.9,Recruitment,null
BlackBuck,8 years old,1.8k,1k-5k Employees,3.9,Logistics,Salary & Benefits
UNO Minda,65 years old,1.8k,201-500 Employees,4.0,Auto Components,"Job Security, Skill Development / Learning, Company Culture"
Johnson Controls,28 years old,1.8k,5k-10k Employees,3.3,Industrial Automation,Promotions / Appraisal
Lifestyle,24 years old,1.8k,10k-50k Employees,4.4,Retail,"Job Security, Company Culture, Skill Development / Learning"
Britannia,131 years old,1.8k,1k-5k Employees,4.1,Food Processing,"Job Security, Skill Development / Learning, Company Culture"
Micro Labs,Bangalore/Bengaluru +111 more,1.8k,10k-50k Employees,3.6,Pharma,Job Security
Voltas,69 years old,1.8k,1k-5k Employees,4.0,Consumer Electronics & Appliances,"Job Security, Skill Development / Learning, Company Culture"
Extramarks Education,Noida +99 more,1.8k,1k-5k Employees,3.5,EdTech,null
RSPL Group,Mumbai +160 more,1.8k,10k-50k Employees,4.1,FMCG,"Job Security, Skill Development / Learning, Work Life Balance"
Exide Industries,76 years old,1.8k,5k-10k Employees,3.5,Auto Components,Promotions / Appraisal
Radisson Hotels,Minnetonka +97 more,1.8k,10k-50k Employees,4.0,Hospitality,"Skill Development / Learning, Company Culture, Work Life Balance"
Eureka Forbes,Mumbai +155 more,1.8k,1k-5k Employees,3.9,Consumer Electronics & Appliances,Skill Development / Learning
Future Retail,36 years old,1.7k,10k-50k Employees,4.3,Retail,"Skill Development / Learning, Company Culture, Work Satisfaction"
TVS Supply Chain Solutions,Chennai +120 more,1.7k,1k-5k Employees,3.9,Logistics,"Job Security, Skill Development / Learning"
G4S,Gurgaon/Gurugram +120 more,1.7k,1 Lakh+ Employees,4.0,Law Enforcement & Security,"Work Life Balance, Salary & Benefits"
Croma,Mumbai +124 more,1.7k,5k-10k Employees,4.1,Retail,"Job Security, Skill Development / Learning, Company Culture"
Aditya Birla Group,166 years old,1.7k,10k-50k Employees,4.1,Retail,"Job Security, Skill Development / Learning, Company Culture"
JMC Projects,41 years old,1.7k,1k-5k Employees,4.2,Engineering & Construction,"Job Security, Skill Development / Learning, Salary & Benefits"
PepsiCo,34 years old,1.7k,1 Lakh+ Employees,4.1,Food Processing,"Job Security, Company Culture, Skill Development / Learning"
Grasim Industries,76 years old,1.7k,10k-50k Employees,4.0,Building Material,"Job Security, Skill Development / Learning, Company Culture"
Rivigo,9 years old,1.7k,1k-5k Employees,3.9,Internet,Skill Development / Learning
The Himalaya Drug Company,San Francisco +177 more,1.7k,5k-10k Employees,4.1,Pharma,"Work Life Balance, Skill Development / Learning, Company Culture"
TVS Credit,15 years old,1.7k,10k-50k Employees,4.3,NBFC,"Job Security, Work Life Balance, Company Culture"
Ajanta Pharma,50 years old,1.7k,5k-10k Employees,4.0,Pharma,"Job Security, Work Life Balance, Company Culture"
Sterlite Technologies,35 years old,1.7k,1k-5k Employees,3.9,Hardware & Networking,null
ACT Fibernet,Bengaluru/Bangalore +40 more,1.7k,5k-10k Employees,4.1,Telecom,"Job Security, Company Culture, Salary & Benefits"
Shree Cement,44 years old,1.7k,5k-10k Employees,4.0,Building Material,"Work Life Balance, Work Satisfaction, Skill Development / Learning"
Nokia Networks,null,1.7k,501-1k Employees,4.3,Hardware & Networking,"Company Culture, Work Life Balance, Job Security"
Quest Global,Singapore +27 more,1.7k,10k-50k Employees,3.6,IT Services & Consulting,null
Tata Teleservices,27 years old,1.7k,201-500 Employees,4.1,Telecom,"Work Life Balance, Company Culture, Skill Development / Learning"
Blue Star,80 years old,1.7k,1k-5k Employees,4.1,Consumer Electronics & Appliances,"Company Culture, Skill Development / Learning, Work Satisfaction"
Dalmia Bharat Cement,88 years old,1.7k,5k-10k Employees,4.0,Building Material,"Job Security, Skill Development / Learning, Salary & Benefits"
IKS Health,Mumbai +13 more,1.7k,5k-10k Employees,3.6,Healthcare,Promotions / Appraisal
Life Insurance Corporation of India,67 years old,1.7k,1 Lakh+ Employees,4.3,Insurance,"Work Life Balance, Company Culture, Salary & Benefits"
Cholamandalam MS General Insurance,Chennai +311 more,1.7k,1k-5k Employees,3.9,Insurance,null
Sonalika Tractors,Hoshiarpur +136 more,1.7k,1k-5k Employees,3.7,Automobile,Job Security
Delhi Public School,25 years old,1.7k,1k-5k Employees,3.8,Education & Training,null
Yazaki,Tokyo +56 more,1.6k,10k-50k Employees,3.8,Auto Components,null
Pfizer,19 years old,1.6k,5k-10k Employees,4.1,Pharma,"Work Life Balance, Company Culture, Skill Development / Learning"
XpressBees,8 years old,1.6k,5k-10k Employees,3.8,Logistics,null
Emcure Pharmaceuticals,42 years old,1.6k,5k-10k Employees,3.8,Pharma,null
Barclays,333 years old,1.6k,10k-50k Employees,4.0,Banking,"Job Security, Company Culture, Salary & Benefits"
Zomato,15 years old,1.6k,1k-5k Employees,3.7,Internet,null
Renault-Nissan,Chennai +71 more,1.6k,10k-50k Employees,4.1,Automobile,"Company Culture, Work Life Balance, Job Security"
Mahindra Logistics,23 years old,1.6k,1k-5k Employees,4.1,Logistics,"Skill Development / Learning, Company Culture, Work Life Balance"
Samsung Electronics,null,1.6k,null,4.0,Noida +187 more,"Salary & Benefits, Skill Development / Learning, Job Security"
Datamatics Global Services,48 years old,1.6k,5k-10k Employees,3.5,IT Services & Consulting,null
Kalpataru Power Transmission,42 years old,1.6k,1k-5k Employees,4.1,Engineering & Construction,"Job Security, Skill Development / Learning, Company Culture"
DS Group,94 years old,1.6k,1k-5k Employees,4.0,FMCG,"Work Life Balance, Job Security"
Indus Towers,16 years old,1.6k,1k-5k Employees,4.0,Telecom,Skill Development / Learning
Parle Agro,Mumbai +172 more,1.6k,1k-5k Employees,4.2,Beverage,"Job Security, Work Life Balance, Skill Development / Learning"
Kyndryl,New York +20 more,1.6k,10k-50k Employees,4.1,IT Services & Consulting,"Work Life Balance, Skill Development / Learning, Job Security"
V-Mart,21 years old,1.6k,5k-10k Employees,4.2,Retail,"Skill Development / Learning, Job Security, Company Culture"
BHEL,59 years old,1.6k,10k-50k Employees,4.2,Electrical Equipment,"Job Security, Work Life Balance, Company Culture"
Mahindra Holidays & Resorts,Mumbai +91 more,1.6k,5k-10k Employees,3.6,Hospitality,null
PVR Cinemas,26 years old,1.6k,1k-5k Employees,4.1,Media & Entertainment,"Skill Development / Learning, Job Security, Company Culture"
Raymond,98 years old,1.6k,5k-10k Employees,4.1,Fashion & Textile,"Work Life Balance, Company Culture, Job Security"
Movate,Plano +25 more,1.6k,1k-5k Employees,3.5,IT Services & Consulting,Promotions / Appraisal
Indian Railways,170 years old,1.6k,1 Lakh+ Employees,4.1,Railways,"Job Security, Skill Development / Learning, Salary & Benefits"
SRF,53 years old,1.6k,5k-10k Employees,4.2,Chemicals,"Job Security, Skill Development / Learning, Salary & Benefits"
Info Edge,28 years old,1.5k,1k-5k Employees,4.1,Internet,"Job Security, Company Culture, Work Life Balance"
HCL Infosystems,47 years old,1.5k,51-200 Employees,3.9,IT Services & Consulting,"Job Security, Work Life Balance, Company Culture"
Cybage,Pune +8 more,1.5k,5k-10k Employees,4.0,IT Services & Consulting,"Job Security, Company Culture, Work Life Balance"
Reliance Trends,17 years old,1.5k,1 Lakh+ Employees,4.3,Retail,"Skill Development / Learning, Job Security, Company Culture"
Kalyan Jewellers,30 years old,1.5k,5k-10k Employees,4.8,Jewellery,"Skill Development / Learning, Company Culture, Salary & Benefits"
Kansai Nerolac Paints,103 years old,1.5k,1k-5k Employees,3.8,Chemicals,Job Security
Ambuja Cements,40 years old,1.5k,5k-10k Employees,3.9,Building Material,null
ICICI Securities,28 years old,1.5k,1k-5k Employees,3.8,Financial Services,Job Security
Poonawalla Fincorp,35 years old,1.5k,1k-5k Employees,3.9,NBFC,null
Shell,19 years old,1.5k,5k-10k Employees,4.4,Oil & Gas,"Work Life Balance, Company Culture, Salary & Benefits"
Motilal Oswal Financial Services,36 years old,1.5k,5k-10k Employees,3.7,Financial Services,Skill Development / Learning
Whirlpool,112 years old,1.5k,1k-5k Employees,4.2,Consumer Electronics & Appliances,"Work Life Balance, Company Culture, Job Security"
ZS,Evanston +8 more,1.5k,5k-10k Employees,3.5,Management Consulting,Salary & Benefits
Cadila Pharmaceuticals,72 years old,1.5k,5k-10k Employees,3.3,Pharma,"Job Security, Promotions / Appraisal"
Shriram City,37 years old,1.5k,50k-1 Lakh Employees,4.1,Financial Services,"Job Security, Company Culture, Work Life Balance"
Myntra,Bangalore +93 more,1.5k,1k-5k Employees,4.1,Internet,"Company Culture, Skill Development / Learning, Work Life Balance"
JCB,Rocester +81 more,1.5k,1k-5k Employees,3.9,Industrial Machinery,"Work Life Balance, Company Culture"
3i Infotech,30 years old,1.5k,1k-5k Employees,3.5,IT Services & Consulting,Promotions / Appraisal
Force Motors,65 years old,1.5k,1k-5k Employees,3.5,Automobile,Promotions / Appraisal
Blinkit,10 years old,1.5k,1k-5k Employees,3.8,Internet,null
Fujitsu,88 years old,1.5k,5k-10k Employees,3.9,IT Services & Consulting,"Work Life Balance, Job Security, Company Culture"
Shahi Exports,Faridabad +55 more,1.5k,1 Lakh+ Employees,4.0,Retail,"Job Security, Skill Development / Learning, Company Culture"
Endurance Technologies,38 years old,1.5k,1k-5k Employees,3.8,Auto Components,Skill Development / Learning
Sterling & Wilson,Mumbai +79 more,1.5k,501-1k Employees,4.1,Engineering & Construction,"Company Culture, Work Life Balance, Skill Development / Learning"
Kent RO Systems,Noida +134 more,1.5k,1k-5k Employees,4.2,Consumer Electronics & Appliances,"Work Life Balance, Work Satisfaction, Company Culture"
Bharti AXA Life Insurance,Mumbai +213 more,1.5k,5k-10k Employees,3.9,Insurance,Company Culture
ITC Hotels,48 years old,1.5k,5k-10k Employees,4.1,Hospitality,"Job Security, Skill Development / Learning, Company Culture"
Lodha group,43 years old,1.5k,1k-5k Employees,4.1,Real Estate,"Skill Development / Learning, Company Culture, Work Life Balance"
Sobha,28 years old,1.5k,1k-5k Employees,4.0,Real Estate,"Job Security, Skill Development / Learning"
Syngene International,30 years old,1.5k,1k-5k Employees,3.9,Pharma,"Job Security, Company Culture, Skill Development / Learning"
Delphi TVS,Kanchipuram +27 more,1.5k,1k-5k Employees,4.0,Auto Components,"Skill Development / Learning, Work Satisfaction, Company Culture"
Tata Elxsi,34 years old,1.5k,10k-50k Employees,4.0,IT Services & Consulting,"Job Security, Company Culture, Work Life Balance"
Brakes India,61 years old,1.4k,501-1k Employees,4.0,Auto Components,"Job Security, Skill Development / Learning, Company Culture"
Bharat Petroleum,71 years old,1.4k,5k-10k Employees,4.1,Oil & Gas,"Skill Development / Learning, Salary & Benefits, Work Life Balance"
